net,length_um
net246,1.18718mm
net234,1.11706mm
net265,1.03426mm
net292,1.01618mm
_0844_,1.00288mm
net275,981.36µm
net261,976.355µm
_0275_,917.36µm
_0598_,915.5µm
net224,915.375µm
net231,875.38µm
net236,875.07µm
net283,864.68µm
net145,860.44µm
net279,855.575µm
net241,849.51µm
net237,835.81µm
_0517_,796.32µm
net271,787.78µm
_0594_,784.74µm
net235,775.815µm
net81,772.88µm
net191,771.56µm
net190,768.02µm
net189,766.42µm
net294,766.42µm
net146,761.5µm
net233,759µm
net293,754.22µm
net84,735.56µm
net269,735.46µm
_0685_,731.4µm
_1003_,725.52µm
_0274_,723.14µm
_1034_,709.5µm
net266,708.84µm
_0519_,704.15µm
net72,702.78µm
cn_dn\[6\],698.7µm
net257,693.04µm
_0518_,688.23µm
net121,683.98µm
net260,682.95µm
_0880_,664µm
net268,663.4µm
net4,660.36µm
net259,650.77µm
decipher_process,649.2µm
_0964_,647.48µm
net282,646.88µm
net270,646.55µm
_0589_,644.66µm
net97,643.9µm
net232,639.5µm
net281,633.9µm
net242,625.64µm
_0997_,618.6µm
net179,618.28µm
clk,614.97µm
net60,613.82µm
net178,607.36µm
_0623_,607.26µm
net184,604.82µm
_0535_,600.07µm
clknet_0_clk,597.895µm
net164,594.86µm
net174,594.14µm
_0547_,589.81µm
net123,588.54µm
cn_dn\[10\],586.68µm
net256,584.02µm
_1045_,579.42µm
net163,576.08µm
_0576_,551.56µm
net112,547.18µm
net175,538.48µm
net51,530.28µm
net263,530.12µm
net264,526.78µm
_0192_,523.24µm
net126,519.08µm
_0253_,516.62µm
net9,505.72µm
_1099_,487.44µm
net3,486.88µm
net141,486.18µm
net127,485.26µm
net258,485.24µm
_0906_,478.58µm
net278,478.54µm
clknet_4_3__leaf_clk,473.3µm
net262,464.78µm
net49,457.02µm
_0552_,455.46µm
_0907_,451.105µm
_1084_,446.4µm
net255,445.5µm
net66,444.6µm
net267,440.02µm
_0950_,439.66µm
clknet_4_13__leaf_clk,436.695µm
net173,433.22µm
net65,431.66µm
cn_dn\[0\],426.08µm
net142,425.075µm
net124,424.82µm
cn_dn\[14\],416.78µm
net18,412.86µm
net133,411.12µm
clknet_2_2_0_clk,410.35µm
clknet_4_10__leaf_clk,409.8µm
_1085_,406.94µm
clknet_4_12__leaf_clk,405.57µm
net129,401.795µm
_0462_,400.88µm
cn\[8\],396.56µm
_0785_,394.54µm
cn_dn\[27\],393.08µm
_0207_,392.74µm
net240,388.22µm
clknet_2_1_0_clk,385.66µm
clknet_2_3_0_clk,381.5µm
clknet_2_0_0_clk,378.56µm
clknet_4_4__leaf_clk,377.975µm
_0949_,376.36µm
net132,374.92µm
_0978_,369.98µm
net172,369.06µm
net287,366.2µm
_0784_,364.06µm
net277,360.76µm
cn_dn\[17\],360.36µm
_0521_,357.6µm
_0850_,355.405µm
cn_dn\[20\],349.7µm
_0165_,347.62µm
net128,344.56µm
_0852_,336.92µm
net274,335.66µm
clknet_4_7__leaf_clk,330.5µm
net253,327.48µm
clknet_4_15__leaf_clk,324.48µm
net181,323.66µm
net280,321.1µm
net254,319.7µm
_0666_,316.76µm
_0586_,315.82µm
clknet_4_11__leaf_clk,309.52µm
net137,305.96µm
clknet_4_0__leaf_clk,304.71µm
net272,299.9µm
net77,295µm
_0470_,286.34µm
net58,286.06µm
clknet_4_9__leaf_clk,285.62µm
net159,285.08µm
net286,284.96µm
clknet_4_1__leaf_clk,278.72µm
net167,277.94µm
cn_dn\[3\],274.84µm
_0191_,272.26µm
clknet_4_6__leaf_clk,270.54µm
clknet_3_5_0_clk,270.14µm
_0760_,269.42µm
_0838_,267.34µm
clknet_3_0_0_clk,266.88µm
_0553_,266.04µm
clknet_3_4_0_clk,265.68µm
clknet_3_2_0_clk,263.88µm
net40,262.83µm
_0267_,260.51µm
cn_dn\[24\],257.98µm
net80,256.66µm
cn\[7\],255µm
net285,252.08µm
cn_dn\[7\],251.76µm
clknet_3_7_0_clk,251.76µm
_1096_,251.22µm
cn\[22\],246.74µm
_0830_,246.38µm
net36,242.78µm
net243,241.88µm
clknet_4_5__leaf_clk,240.66µm
_0245_,240.56µm
net221,240.03µm
net44,237.38µm
_0144_,236.04µm
net251,232.68µm
net69,231.58µm
cn\[11\],231.28µm
_0853_,230.825µm
_0753_,229.2µm
clknet_4_14__leaf_clk,228.28µm
net250,225.02µm
_0769_,224.82µm
net22,221.82µm
clknet_3_3_0_clk,221.64µm
net219,220.98µm
_1070_,220.63µm
_0752_,219.2µm
net117,216.4µm
cn\[14\],214.06µm
net239,211.66µm
clknet_4_8__leaf_clk,208.76µm
net220,202.9µm
_0587_,202.72µm
cn\[15\],202.24µm
net222,200.04µm
_0588_,198.4µm
clknet_4_2__leaf_clk,197.92µm
net230,197.6µm
cn\[12\],196.9µm
net288,196.74µm
_0268_,196.52µm
net95,195.78µm
net284,193.54µm
net290,193.26µm
net247,193.135µm
net291,192.95µm
_0520_,191.92µm
net88,190.62µm
net214,190.18µm
_0837_,189.98µm
_0885_,189.38µm
cn\[4\],189.24µm
cn_dn\[22\],188.42µm
_0478_,188.02µm
_0714_,187.74µm
clknet_3_6_0_clk,187.18µm
net273,184.76µm
net5,183.22µm
net215,180.04µm
net217,179.16µm
cn\[17\],178.88µm
_0522_,178.49µm
net109,178.44µm
_0797_,177.25µm
net238,177.25µm
net102,177.14µm
net245,175.79µm
net216,175.1µm
net94,174.88µm
net252,174.77µm
_0270_,174.365µm
net118,171.86µm
net14,171.08µm
net249,169.56µm
net110,169.4µm
net227,169.16µm
_0665_,168.95µm
net115,167.44µm
_0798_,166.92µm
_0664_,165.5µm
_0523_,164.62µm
net168,164.02µm
_0472_,162.4µm
_0524_,161.64µm
_0720_,161.58µm
clknet_3_1_0_clk,161.4µm
net225,161.175µm
net160,160.22µm
_0800_,157.92µm
cn\[23\],155.98µm
net276,155.88µm
net211,155.64µm
net73,155.26µm
_0474_,154.22µm
net103,153.6µm
net229,152.82µm
_0705_,150.24µm
_0627_,149.66µm
_1069_,148.5µm
net76,148.46µm
cn_dn\[12\],146.02µm
cn_dn\[15\],145.22µm
_0219_,144.46µm
net93,143.76µm
_0667_,143.67µm
_0787_,143.41µm
_0230_,141.38µm
net171,139.28µm
_0834_,138.135µm
net101,137.8µm
_0525_,137.595µm
net213,137.58µm
_0640_,137.34µm
_0833_,137.225µm
net138,137.08µm
_0630_,136.1µm
net116,135.46µm
_0801_,135.26µm
_0531_,135.12µm
net170,135.06µm
net104,135µm
_0133_,134.4µm
_0693_,133.98µm
_0529_,133.76µm
_0802_,133.28µm
net89,132µm
_0530_,131.86µm
net70,130.36µm
net78,130.26µm
_0556_,129.76µm
_0269_,129.38µm
_0789_,129.24µm
cn_dn\[25\],129.06µm
_0694_,128.24µm
_0663_,127.71µm
cn_dn\[19\],127.42µm
net228,125.78µm
_0716_,125.675µm
net87,125.44µm
_0551_,123.48µm
_0366_,123.34µm
_0402_,123.34µm
_0704_,123.21µm
_0791_,122.24µm
_0842_,122.2µm
net85,121.84µm
_0629_,121.68µm
_0762_,121.58µm
_0534_,121.26µm
_0353_,121.1µm
_0465_,120.99µm
_0751_,120.8µm
_0790_,120.08µm
cn\[1\],119.48µm
net111,119.08µm
net79,118.96µm
_0662_,118.4µm
net92,118.32µm
net182,118.1µm
_0201_,117.96µm
_0306_,117.91µm
key_process,117.02µm
net192,116.44µm
cn_dn\[11\],116.31µm
net289,116.18µm
net209,115.62µm
_0528_,115.22µm
_0549_,114.54µm
net226,114.44µm
net108,113.78µm
_0282_,113.17µm
net143,112.98µm
_0386_,112.4µm
_0759_,112.38µm
net122,111.64µm
net119,111µm
cn\[0\],110.9µm
_0639_,110.78µm
_0446_,110.6µm
_0887_,110.14µm
_0350_,110.09µm
_0645_,109.865µm
_0700_,109.82µm
_0721_,109.72µm
_0565_,109.625µm
_0458_,108.82µm
net218,108.72µm
net100,108.06µm
_0143_,107.16µm
_0843_,107µm
net197,106.34µm
_0855_,106.33µm
_0901_,106.32µm
cn_dn\[4\],106.12µm
net120,105.34µm
_0628_,104.94µm
_0646_,104.74µm
_0723_,104.11µm
_0746_,104.1µm
_0893_,104.06µm
_0683_,103.54µm
_0771_,103.26µm
net114,102.94µm
_0271_,102.62µm
net248,102.14µm
_0648_,101.7µm
_0643_,101.62µm
net193,101.46µm
_0840_,100.9µm
_0454_,100.02µm
_0582_,99.53µm
_0638_,99.44µm
_0839_,98.84µm
_0936_,98.62µm
net212,98.06µm
net185,97.72µm
_0414_,97.6µm
cn_dn\[16\],97.48µm
_0758_,97.34µm
_0480_,97.26µm
_0854_,97.14µm
cn\[13\],96.92µm
net201,96.88µm
net134,96.42µm
_0358_,96.36µm
_0280_,95.94µm
